Description,Designator,LibRef

"Filter, 742 751 1 (Würth), 2 pol SMT, Ferritperle, Imax=5A, 416R","FER1","HA7427511-S22"
"Filter, 742 751 1 (Würth), 2 pol SMT, Ferritperle, Imax=5A, 416R","FER2","HA7427511-S22"
"Filter, 742 751 1 (Würth), 2 pol SMT, Ferritperle, Imax=5A, 416R","FER3","HA7427511-S22"
"Filter, 742 751 1 (Würth), 2 pol SMT, Ferritperle, Imax=5A, 416R","FER4","HA7427511-S22"
"IC, FM24C256-G (Cypress) / FM24C256-SE, SO8, Serial FRAM, 32Kx8, 5V","IC1","IC24C256-S30"
"IC, FM24C256-G (Cypress) / FM24C256-SE, SO8, Serial FRAM, 32Kx8, 5V","IC3","IC24C256-S30"
"Induktivität, MLZ2012E100MT (TDK Epson), 0805, 10µH","L1","PAIMZL2012-S10"
"Induktivität, MLZ2012E100MT (TDK Epson), 0805, 10µH","L2","PAIMZL2012-S10"
"Montagematerial, PLP2-250 (Bivar) / 63.64.521 , Lichtleiter, L=6,4mm, d=2,8mm, transparent, PC","LL1","MEPLP2-K10"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q1","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q2","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q3","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q4","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q5","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q6","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q7","HANX3215SA-S11"
"Quarz, NX3215SA-32.768K-STD-MUA-14 (NDK), 2 pol SMT, Quarz, 32,768kHz, Cl=6pF, 20ppm, -40°C bis 85°C","Q8","HANX3215SA-S11"
"Widerstand, 0603, 220k, 1%, Metall, Chip, TK100","R1","WI2203-S16"
"Widerstand, 0402, 11,5k, 1%, Metall, Chip, TK100","R2","WI1156-S10"
"Widerstand, 0603, 220k, 1%, Metall, Chip, TK100","R3","WI2203-S16"
"Widerstand, 0402, 11,5k, 1%, Metall, Chip, TK100","R4","WI1156-S10"
"Widerstand, 0402, 11,5k, 1%, Metall, Chip, TK100","R5","WI1156-S10"
"Widerstand, 0603, 220k, 1%, Metall, Chip, TK100","R6","WI2203-S16"
"Widerstand, 0402, 11k, 1%, Metall, Chip, TK100","R7","WI1102-S14"
"Widerstand, 0402, 11k, 1%, Metall, Chip, TK100","R8","WI1102-S14"
"Widerstand, 0402, 11k, 1%, Metall, Chip, TK100","R9","WI1102-S14"
"Widerstand, 0402, 11k, 1%, Metall, Chip, TK100","R10","WI1102-S14"
